order_id,customer_id,product_id,quantity,order_amount,discount,order_date
1,1,1,2,8703.01,12.66,2021-07-11
2,2,2,1,75090.27,23.06,2021-08-17
3,3,3,1,37903.52,29.56,2025-05-25
4,4,4,5,4192.47,10.94,2023-01-03
5,5,3,1,33525.47,24.55,2024-10-09
6,6,4,5,13578.59,13.85,2022-06-17
7,7,5,5,48862.9,22.74,2024-08-15
8,8,4,5,22488.7,4.47,2025-08-20
9,9,6,5,74631.79,4.1,2022-07-20
10,10,4,5,89891.86,13.96,2024-10-19
11,11,7,2,23487.66,16.13,2023-07-19
12,3,8,1,39879.03,21.89,2023-05-25
13,12,9,2,38026.94,21.11,2021-05-28
14,13,4,5,38747.78,23.23,2025-06-05
15,14,7,2,99452.59,11.25,2022-10-15
16,15,2,1,7901.91,18.07,2024-01-23
17,16,5,5,18204.49,28.99,2023-10-27
18,17,7,2,40064.16,17.11,2023-01-13
19,18,8,1,57351.95,16.3,2025-08-04
20,19,4,5,69279.93,1.86,2023-08-12
21,20,7,2,6738.42,17.82,2024-05-09
22,1,5,5,93476.48,17.37,2022-08-28
23,21,1,2,92888.21,8.98,2024-03-06
24,22,2,1,17771.95,11.95,2022-08-20
25,23,4,5,88310.91,13.49,2023-03-08
26,24,4,5,13932.1,6.2,2025-07-08
27,25,9,2,81712.73,29.64,2024-11-22
28,26,7,2,60887.15,9.28,2021-09-02
29,27,9,2,45851.22,22.44,2023-11-02
30,28,7,2,64268.83,23.92,2024-07-15
31,29,1,2,63968.28,3.12,2021-10-16
32,30,2,1,43979.64,7.9,2024-03-01
33,31,4,5,,22.78,2025-08-09
34,32,3,1,81603.31,10.3,2024-11-06
35,33,7,2,58973.39,0.0,2024-12-27
36,34,4,5,,17.07,2022-01-07
37,35,4,5,45710.03,23.44,2021-08-09
38,36,1,2,,16.4,2025-05-09
39,37,4,5,63025.42,12.99,2023-03-09
40,38,2,1,8206.55,8.42,2025-12-31
41,39,9,2,3928.69,17.17,2021-12-07
42,40,2,1,73580.89,25.65,2025-03-12
43,41,5,5,51655.26,0.29,2022-05-24
44,42,7,2,25104.89,25.76,2023-03-27
45,43,7,2,43503.39,19.19,2022-12-13
46,44,4,5,68147.42,9.36,2021-11-21
47,23,6,5,70134.39,7.68,2022-03-29
48,45,2,1,38160.8,23.4,2022-12-14
49,46,2,1,6020.4,6.02,2021-04-19
50,47,7,2,18405.81,11.62,2021-10-09
51,48,2,1,96043.78,0.11,2021-01-26
52,49,2,1,33058.18,10.14,2023-08-30
53,50,8,1,31144.64,26.77,2021-04-14
54,51,7,2,,28.1,2021-07-02
55,52,1,2,57818.33,17.19,2025-07-15
56,53,1,2,65663.99,25.06,2024-12-21
57,54,9,2,6308.63,16.22,2023-10-21
58,55,6,5,27649.89,5.81,2024-11-04
59,56,2,1,69319.05,12.2,2021-09-29
60,57,4,5,65579.49,23.6,2024-04-30
61,58,2,1,21577.36,26.63,2025-07-04
62,59,7,2,41205.33,27.63,2021-07-29
63,60,7,2,70476.04,16.71,2021-06-18
64,61,7,2,67505.71,19.8,2023-09-02
65,62,7,2,26800.92,19.14,2024-03-05
66,63,4,5,53495.72,7.09,2023-03-07
67,64,7,2,41838.92,12.26,2021-02-28
68,65,7,-1,68134.42,20.42,2023-02-05
